,id,comp-1,comp-2,first_author_female,last_author_female,majority_female_binary,topic,climatejusticescore
7144,458712,18.094692,7.089849,0.0,0.0,0.0,Topic85,0.16015855673172105
7145,458887,-20.08767,-21.35084,0.0,0.0,0.0,Topic6,0.033999636412569284
7146,458893,38.89836,-17.30854,0.0,0.0,0.0,Topic83,0.5807662323203298
7147,458941,-10.971744,6.5759516,0.0,0.0,0.0,Topic31,0.1845832229034567
7148,458954,41.02808,-5.6704836,1.0,0.0,0.0,Topic103,0.4296744483137598
7149,458963,-0.6250135,-34.53214,1.0,0.0,0.0,Topic114,0.0409237662390479
7150,459016,-22.429033,19.758226,0.0,0.0,0.0,Topic38,0.04704573916593865
7151,459057,12.753842,30.991589,1.0,0.0,0.0,Topic44,0.4219497824186541
7152,459069,2.0585475,7.2791038,0.0,0.0,unknown,Topic109,0.2634493388046625
7153,459127,-7.052154,13.480815,0.0,unknown,unknown,Topic62,0.030770724817189798
7154,459136,-23.170221,-32.538692,0.0,0.0,0.0,Topic6,0.1052988353160943
7155,459140,41.611725,-4.5360184,1.0,1.0,1.0,Topic103,0.2293878809126587
7156,459148,9.367509,-46.58795,0.0,0.0,0.0,Topic24,0.121730745544734
7157,459219,39.821114,20.424633,1.0,0.0,0.5,Topic44,0.5376646671593869
7158,459258,0.59138566,-7.461484,1.0,0.0,0.0,Topic20,0.1790427676976346
7159,459391,-3.485576,-16.88731,1.0,1.0,1.0,Topic95,0.008090244824346539
7160,459477,-52.356045,-6.9419303,unknown,0.0,unknown,Topic22,0.03952642225512798
7161,459589,-4.123287,-57.0439,unknown,0.0,unknown,Topic16,0.051392851317475605
7162,459633,25.482168,9.1381445,1.0,1.0,1.0,Topic37,0.43243471530138355
7163,459635,31.58789,-16.348864,0.0,0.0,0.0,Topic37,0.38838800490140407
7164,459648,39.054672,-17.03531,0.0,0.0,unknown,Topic83,0.422310926149173
7165,459678,-16.335436,38.22566,1.0,1.0,0.5,Topic26,0.035367152162252294
7166,459680,45.074974,-20.197714,unknown,0.0,unknown,Topic83,0.4137323974352361
7167,459813,-33.07693,-35.463066,unknown,unknown,unknown,Topic112,0.0606397282117413
7168,459828,-3.8183928,-5.5638747,0.0,0.0,0.0,Topic10,0.28255961640857014
7169,459888,-10.067617,-23.196598,1.0,unknown,1.0,Topic6,0.3325454997530523
7170,459947,23.227983,7.8233733,0.0,0.0,0.0,Topic37,0.16956241291688212
7171,460022,28.094997,19.495504,1.0,0.0,1.0,Topic91,0.3522305742810632
7172,460071,-37.183567,-12.627341,1.0,0.0,0.5,Topic54,0.025900164524198396
7173,460074,35.886208,-7.728877,1.0,0.0,0.5,Topic81,0.3795373919217993
7174,460090,3.651827,46.094566,1.0,0.0,0.5,Topic4,0.0524460508053783
7175,460093,-2.49936,-15.104512,0.0,1.0,0.5,Topic95,0.015615161711240446
7176,460102,45.89083,-27.707537,0.0,1.0,0.0,Topic81,0.3250046173496788
7177,460138,-27.015312,-31.648853,1.0,1.0,1.0,Topic55,0.0553962169666688
7178,460157,3.7846735,-10.221085,1.0,0.0,0.0,Topic65,0.15637658878963476
7179,460167,41.27567,3.9824452,0.0,1.0,0.5,Topic80,0.23593875231177314
7180,460204,8.648031,34.51282,0.0,0.0,0.0,Topic29,0.0228858503123663
7181,460207,14.927912,7.607904,1.0,1.0,1.0,Topic109,0.17643649251510593
7182,460318,19.04954,-1.7392781,1.0,0.0,1.0,Topic85,0.0758514282852369
7183,460323,-34.283504,25.316423,unknown,0.0,unknown,Topic93,0.01900786799303696
7184,460379,-4.268611,-36.646114,0.0,0.0,0.0,Topic114,0.022265655542821634
7185,460431,-13.229505,19.819046,0.0,0.0,0.0,Topic3,0.034452094090002626
7186,460470,-16.47054,42.081963,0.0,0.0,0.0,Topic23,0.040598567265307875
7187,460557,1.4669569,-41.375603,0.0,0.0,0.0,Topic63,0.021807470050079103
7188,460561,19.71793,-27.708147,1.0,1.0,1.0,Topic106,0.15875156950993796
7189,460594,-11.200802,19.266836,0.0,0.0,unknown,Topic92,0.026568015641533188
7190,460648,-2.93113,-33.950733,0.0,0.0,0.0,Topic114,0.12209006851035199
7191,460706,-14.3913965,46.927685,1.0,0.0,1.0,Topic26,0.031339045900194804
7192,460811,-24.01085,-5.687639,1.0,unknown,unknown,Topic90,0.059305503983659594
7193,460870,10.639379,-6.7510414,0.0,0.0,0.0,Topic116,0.059027363058233306
7194,460907,-14.319955,41.455753,1.0,0.0,0.5,Topic23,0.034780708239342296
7195,460933,-16.83242,-13.407764,unknown,0.0,unknown,Topic41,0.007918431632255031
7196,460978,-37.214752,30.286753,0.0,unknown,unknown,Topic7,0.0323506458024398
7197,461015,28.213774,8.712739,1.0,1.0,1.0,Topic37,0.29637066277597823
7198,461033,-20.755678,44.596386,0.0,0.0,unknown,Topic66,0.11465795141850992
7199,461040,18.437433,-21.562717,0.0,0.0,0.0,Topic5,0.05687852576366711
